Model,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Sumofsales,Category,Year
Cadillac XT4,250,312,329,298,371,437,311,452,133,201,222,201,3517,MLS,2019
Infiniti QX30,9,13,64,0,1,3,2,1,0,0,0,0,93,MLS,2019
Infiniti QX50,189,185,319,296,305,284,276,307,356,348,374,276,3515,MLS,2019
Jaguar E0Pace,38,3,50,88,52,20,27,27,43,24,28,17,417,MLS,2019
Land Rover Discovery Sport,54,70,140,148,45,78,76,60,133,97,92,83,1076,MLS,2019
Land Rover Range Rover Evoque,53,55,179,61,198,199,117,179,120,172,226,229,1788,MLS,2019
Lexus NX,450,426,668,765,634,577,586,703,889,785,585,558,7626,MLS,2019
Lexus UX,258,228,236,342,309,246,186,209,166,194,153,156,2683,MLS,2019
Lincoln MKC,147,126,233,186,237,250,209,201,199,82,53,584,2507,MLS,2019
Mercedes0Benz GLA0Class,138,180,307,266,406,306,400,595,223,200,494,174,3689,MLS,2019
Mercedes0Benz GLC/GLK0Class,611,757,1037,994,1051,921,806,892,949,919,1054,892,10883,MLS,2019
Volvo XC40,109,116,227,226,191,99,181,191,134,216,231,211,2132,MLS,2019
Volvo XC60,125,137,234,320,280,307,343,283,305,240,241,230,3045,MLS,2019
Alfa Romeo Stelvio,42,42,48,59,57,59,0,0,0,0,0,0,307,SLS,2021
Audi eTron,45,45,51,1,1,1,0,0,0,0,0,0,144,SLS,2021
Audi Q3,553,553,622,843,810,843,0,0,0,0,0,0,4224,SLS,2021
Audi Q5,623,623,701,1268,1219,1268,0,0,0,0,0,0,5702,SLS,2021
BMW X1,188,188,212,347,334,347,0,0,0,0,0,0,1616,SLS,2021
BMW X2,44,44,49,121,116,121,0,0,0,0,0,0,495,SLS,2021
Cadillac XT4,299,299,337,294,282,294,0,0,0,0,0,0,1805,SLS,2021
Infiniti QX50,155,155,174,201,194,201,0,0,0,0,0,0,1080,SLS,2021
Infiniti QX55,0,0,0,64,62,64,0,0,0,0,0,0,190,SLS,2021
Jaguar E0Pace,15,15,17,11,11,11,0,0,0,0,0,0,80,SLS,2021
Land Rover Discovery Sport,90,90,101,41,39,41,0,0,0,0,0,0,402,SLS,2021
Land Rover Range Rover Evoque,124,124,139,75,72,75,0,0,0,0,0,0,609,SLS,2021
Lexus NX,330,442,684,797,667,699,822,0,0,0,0,0,4441,SLS,2021
Lexus UX,112,136,237,377,303,360,337,0,0,0,0,0,1862,SLS,2021
Lincoln MKC,154,154,173,230,221,230,0,0,0,0,0,0,1162,SLS,2021
Mercedes0Benz GLA0Class,227,227,256,196,189,196,0,0,0,0,0,0,1291,SLS,2021
Mercedes0Benz GLB,250,250,281,234,225,234,0,0,0,0,0,0,1474,SLS,2021
Mercedes0Benz GLC/GLK0Class,510,510,574,747,718,747,0,0,0,0,0,0,3806,SLS,2021
Tesla Model Y,512,512,576,540,519,540,0,0,0,0,0,0,3199,SLS,2021
Volvo XC40,222,222,250,369,477,289,0,0,0,0,0,0,1829,SLS,2021
Volvo XC60,155,155,174,241,312,189,0,0,0,0,0,0,1226,SLS,2021
Alfa Romeo Stelvio,23,30,18,16,36,37,62,55,59,51,42,58,487,SLS,2020
Audi eTron,33,43,26,15,33,34,43,38,41,82,67,93,548,SLS,2020
Audi Q3,410,531,321,201,446,468,559,497,539,667,548,762,5949,SLS,2020
Audi Q5,460,596,361,330,734,771,912,811,879,740,608,846,8048,SLS,2020
BMW X1,188,243,147,60,133,139,248,220,238,259,213,296,2384,SLS,2020
BMW X2,83,107,65,15,33,34,118,105,114,39,32,45,790,SLS,2020
Cadillac XT4,206,267,161,128,284,298,406,361,391,336,276,384,3498,SLS,2020
Infiniti QX30,1,0,0,0,1,1,0,0,0,0,0,0,3,SLS,2020
Infiniti QX50,223,220,111,46,102,108,209,186,201,166,136,189,1897,SLS,2020
Jaguar E0Pace,44,57,35,5,12,12,20,17,19,15,12,17,265,SLS,2020
Land Rover Discovery Sport,84,109,66,29,64,68,83,73,79,68,56,77,856,SLS,2020
Land Rover Range Rover Evoque,137,177,107,58,128,134,117,104,113,113,93,129,1410,SLS,2020
Lexus NX,477,497,333,146,430,333,676,564,620,1214,1009,655,6954,SLS,2020
Lexus UX,218,156,150,42,188,133,272,262,368,494,336,237,2856,SLS,2020
Lincoln MKC,150,194,118,80,178,187,223,199,215,162,133,185,2024,SLS,2020
Mercedes0Benz GLA0Class,85,110,67,26,57,60,195,173,188,269,221,308,1759,SLS,2020
Mercedes0Benz GLB,113,146,88,58,129,136,141,126,136,237,195,271,1776,SLS,2020
Mercedes0Benz GLC/GLK0Class,577,748,453,256,568,597,812,722,782,495,407,566,6983,SLS,2020
Tesla Model Y,0,0,0,0,0,0,0,0,0,371,305,424,1100,SLS,2020
Volvo XC40,155,157,75,79,176,184,287,255,277,205,169,235,2254,SLS,2020
Volvo XC60,149,162,72,94,208,219,400,355,385,372,306,426,3148,SLS,2020
Alfa Romeo Stelvio,25,17,40,46,38,38,32,36,72,31,26,57,458,SLS,2019
Audi eTron,0,0,0,0,0,113,98,42,71,58,75,33,490,SLS,2019
Audi Q3,77,0,0,0,0,0,371,730,457,668,929,502,3734,SLS,2019
Audi Q5,626,603,1025,1349,1346,833,781,921,1070,859,1009,433,10855,SLS,2019
BMW X1,183,591,509,525,244,307,151,310,477,456,425,242,4420,SLS,2019
BMW X2,63,203,145,163,172,111,57,66,128,51,124,100,1383,SLS,2019
Cadillac XT4,250,312,329,298,371,437,311,452,133,201,222,201,3517,SLS,2019
Infiniti QX30,9,13,64,0,1,3,2,1,0,0,0,0,93,SLS,2019
Infiniti QX50,189,185,319,296,305,284,276,307,356,348,374,276,3515,SLS,2019
Jaguar E0Pace,38,3,50,88,52,20,27,27,43,24,28,17,417,SLS,2019
Land Rover Discovery Sport,54,70,140,148,45,78,76,60,133,97,92,83,1076,SLS,2019
Land Rover Range Rover Evoque,53,55,179,61,198,199,117,179,120,172,226,229,1788,SLS,2019
Lexus NX,450,426,668,765,634,577,586,703,889,785,585,558,7626,SLS,2019
Lexus UX,258,228,236,342,309,246,186,209,166,194,153,156,2683,SLS,2019
Lincoln MKC,147,126,233,186,237,250,209,201,199,82,53,584,2507,SLS,2019
Mercedes0Benz GLA0Class,138,180,307,266,406,306,400,595,223,200,494,174,3689,SLS,2019
Mercedes0Benz GLC/GLK0Class,611,757,1037,994,1051,921,806,892,949,919,1054,892,10883,SLS,2019
Volvo XC40,109,116,227,226,191,99,181,191,134,216,231,211,2132,SLS,2019
Volvo XC60,125,137,234,320,280,307,343,283,305,240,241,230,3045,SLS,2019
BMW X7,76,76,86,96,92,96,0,0,0,0,0,0,522,LLS,2021
Cadillac Escalade,217,217,244,343,330,343,0,0,0,0,0,0,1694,LLS,2021
Infiniti QX80,82,82,93,74,71,74,0,0,0,0,0,0,476,LLS,2021
Land Rover Range Rover,140,140,157,114,110,114,0,0,0,0,0,0,775,LLS,2021
Lexus LX,54,48,38,52,36,35,34,0,0,0,0,0,297,LLS,2021
Lincoln Navigator,87,87,98,125,120,125,0,0,0,0,0,0,642,LLS,2021
Mercedes0Benz G0Class,107,107,121,76,73,76,0,0,0,0,0,0,560,LLS,2021
Mercedes0Benz GL/GLS0Class,197,197,221,180,173,180,0,0,0,0,0,0,1148,LLS,2021
Toyota Land Cruiser,32,20,18,28,25,30,43,0,0,0,0,0,196,LLS,2021
BMW X7,86,111,67,67,92,156,123,109,119,140,115,160,1345,LLS,2020
Cadillac Escalade,104,135,82,63,139,146,196,175,189,177,146,203,1755,LLS,2020
Infiniti QX80,57,59,29,20,44,47,80,71,77,87,71,99,741,LLS,2020
Land Rover Range Rover,88,114,69,49,108,114,93,83,90,116,96,133,1153,LLS,2020
Lexus LX,82,68,64,91,80,55,7,7,39,199,135,94,921,LLS,2020
Lincoln Navigator,76,98,59,34,76,80,153,136,148,117,96,134,1207,LLS,2020
Mercedes0Benz G0Class,58,75,45,27,61,64,123,109,118,83,68,94,925,LLS,2020
Mercedes0Benz GL/GLS0Class,205,266,161,81,180,189,182,161,175,221,182,253,2256,LLS,2020
Toyota Land Cruiser,8,6,4,12,11,5,31,75,27,54,60,32,325,LLS,2020
BMW X7,0,0,180,231,207,191,207,128,151,117,116,92,1620,LLS,2019
Cadillac Escalade,137,157,237,246,273,206,238,249,225,194,165,188,2515,LLS,2019
Infiniti QX80,51,78,154,95,81,73,61,73,78,65,51,75,935,LLS,2019
Land Rover Range Rover,111,101,259,198,141,119,79,126,158,159,108,173,1732,LLS,2019
Lexus LX,111,89,114,101,127,62,29,70,58,96,110,86,1053,LLS,2019
Lincoln Navigator,84,122,170,184,160,111,177,147,180,121,120,68,1644,LLS,2019
Mercedes0Benz G0Class,19,251,185,151,99,53,58,82,104,101,106,63,1272,LLS,2019
Mercedes0Benz GL/GLS0Class,225,157,195,113,33,39,16,18,226,391,254,280,1947,LLS,2019
Toyota Land Cruiser,32,12,12,39,42,12,22,65,23,20,14,0,293,LLS,2019
Chevrolet Suburban,174,174,196,221,213,221,0,0,0,0,0,0,1199,LS,2021
Chevrolet Tahoe,365,365,411,397,382,397,0,0,0,0,0,0,2317,LS,2021
Ford Expedition,336,336,378,525,505,525,0,0,0,0,0,0,2605,LS,2021
GMC Yukon,530,530,596,749,720,749,0,0,0,0,0,0,3874,LS,2021
Jeep Grand Wagoneer,0,0,0,0,0,4,0,0,0,0,0,0,4,LS,2021
Nissan Armada,47,47,53,65,63,65,0,0,0,0,0,0,340,LS,2021
Toyota Sequoia,36,38,36,52,33,44,31,0,0,0,0,0,270,LS,2021
Chevrolet Suburban,153,198,120,35,78,82,70,62,67,61,50,69,1045,LS,2020
Chevrolet Tahoe,227,294,178,90,200,210,217,193,209,272,224,311,2625,LS,2020
Ford Expedition,303,392,237,129,286,1244,346,308,333,280,230,320,4408,LS,2020
GMC Yukon,242,314,190,124,276,289,391,348,377,396,325,453,3725,LS,2020
GMC Yukon XL,162,209,127,0,0,0,0,0,0,0,0,0,498,LS,2020
Nissan Armada,25,20,16,10,22,23,51,45,49,33,27,37,358,LS,2020
Toyota Sequoia,31,31,23,29,16,22,48,48,30,81,56,40,455,LS,2020
Chevrolet Suburban,138,158,238,248,276,0,240,251,114,199,169,97,2128,LS,2019
Chevrolet Tahoe,177,203,305,318,354,267,308,322,500,355,302,151,3562,LS,2019
Ford Expedition,133,236,303,738,597,693,291,292,323,327,325,123,4381,LS,2019
GMC Yukon,164,188,282,294,327,247,285,298,218,230,196,196,2925,LS,2019
GMC Yukon XL,124,141,213,222,247,186,215,225,142,196,167,156,2234,LS,2019
Nissan Armada,118,54,64,35,50,75,25,38,40,26,39,29,593,LS,2019
Toyota Sequoia,41,35,54,72,46,59,82,30,38,25,35,26,543,LS,2019
Kia Sorento,485,646,899,1068,1016,1022,835,0,0,0,0,0,5971,MS,2021
Kia Telluride,264,460,636,391,295,485,293,0,0,0,0,0,2824,MS,2021
Mazda CX09,355,354,587,716,380,448,459,0,0,0,0,0,3299,MS,2021
Nissan Murano,525,525,591,692,666,692,0,0,0,0,0,0,3691,MS,2021
Nissan Pathfinder,301,301,339,162,156,162,0,0,0,0,0,0,1421,MS,2021
Subaru Ascent,147,231,342,306,306,394,305,0,0,0,0,0,2031,MS,2021
Subaru Outback,544,677,1134,1122,818,709,988,0,0,0,0,0,5992,MS,2021
Toyota 4Runner,668,748,738,643,601,710,788,0,0,0,0,0,4896,MS,2021
Toyota Highlander,1029,1328,2013,1827,1917,2289,2070,0,0,0,0,0,12473,MS,2021
Volkswagen Atlas,840,840,945,1358,1306,1358,0,0,0,0,0,0,6647,MS,2021
Buick Enclave,159,206,125,57,126,132,182,161,175,152,125,173,1773,MS,2020
Chevrolet Blazer,209,270,164,172,382,401,471,418,453,311,255,355,3861,MS,2020
Chevrolet TrailBlazer,0,0,0,71,157,165,275,244,265,442,363,505,2487,MS,2020
Chevrolet Traverse,370,479,290,183,406,426,685,609,659,409,336,467,5319,MS,2020
Dodge Durango,654,847,513,65,144,151,283,252,273,838,689,958,5667,MS,2020
Ford Bronco Sport,0,0,0,0,0,0,0,0,0,66,54,75,195,MS,2020
Ford Edge,854,1106,670,517,1150,1207,1497,1331,1442,1160,953,1326,13213,MS,2020
Ford Explorer,1212,1570,951,533,1185,301,1997,1775,1923,1294,1063,1479,15283,MS,2020
Ford Flex,13,17,10,5,12,13,10,9,9,9,7,10,124,MS,2020
GMC Acadia,274,355,215,90,199,209,318,282,306,290,239,332,3109,MS,2020
Honda Passport,237,271,114,53,292,423,389,309,248,186,97,398,3017,MS,2020
Honda Pilot,734,708,353,196,737,1060,569,586,616,911,720,2150,9340,MS,2020
Hyundai Palisade,430,439,260,156,380,795,996,874,755,800,619,2132,8636,MS,2020
Hyundai Santa Fe,964,796,493,412,865,1512,1514,1329,2015,1897,848,3076,15721,MS,2020
Jeep Grand Cherokee,1327,3165,1041,495,1101,1156,1627,1446,1567,1364,1120,1558,16967,MS,2020
Jeep Wrangler,1194,2992,937,771,1713,1799,2476,2201,2384,2105,1729,2406,22707,MS,2020
Kia Sorento,580,894,687,236,1299,1704,1708,1820,1236,577,207,873,11821,MS,2020
Kia Telluride,164,308,249,137,172,269,145,160,389,357,256,868,3474,MS,2020
Mazda CX09,292,289,192,99,177,369,450,398,376,444,513,1288,4887,MS,2020
Nissan Murano,660,523,435,246,546,574,1073,954,1034,690,567,789,8091,MS,2020
Nissan Pathfinder,258,275,317,134,297,312,379,337,365,242,199,277,3392,MS,2020
Subaru Ascent,197,207,146,67,139,269,407,349,352,328,293,872,3626,MS,2020
Subaru Outback,679,718,510,259,570,833,1232,1072,1220,1168,1095,3200,12556,MS,2020
Toyota 4Runner,513,542,347,323,656,357,630,497,554,1470,1160,772,7821,MS,2020
Toyota Highlander,1129,1067,645,508,777,724,1362,1555,1565,2958,2559,1608,16457,MS,2020
Volkswagen Atlas,511,661,400,316,701,736,1103,981,1062,978,803,1118,9370,MS,2020
Volkswagen Touareg,0,0,0,0,1,1,0,0,0,0,0,0,2,MS,2020
Buick Enclave,174,199,300,312,347,262,303,317,183,199,169,169,2934,MS,2019
Chevrolet Blazer,341,851,1405,1514,2701,1975,2514,2722,314,350,417,106,15210,MS,2019
Chevrolet Traverse,319,365,550,572,637,481,555,580,610,537,457,115,5778,MS,2019
Dodge Durango,700,958,957,1754,531,677,869,996,640,687,584,267,9620,MS,2019
Ford Edge,1017,993,1849,2290,2560,1970,1679,1918,1594,1438,1431,1226,19965,MS,2019
Ford Explorer,810,765,965,779,781,682,663,762,748,630,927,1155,9667,MS,2019
Ford Flex,114,298,511,332,557,343,143,82,38,19,10,45,2492,MS,2019
GMC Acadia,256,292,440,458,510,385,445,465,338,340,289,139,4357,MS,2019
Honda Passport,0,4,265,295,357,282,240,307,257,251,254,166,2678,MS,2019
Honda Pilot,528,492,1086,663,708,594,653,620,542,721,920,714,8241,MS,2019
Hyundai Palisade,0,0,0,0,0,180,826,725,638,608,493,375,3845,MS,2019
Hyundai Santa Fe,1162,1219,1715,1975,2154,2096,1741,1557,1528,1620,1243,919,18929,MS,2019
Jeep Grand Cherokee,1155,1689,1933,1776,1480,1629,1505,1726,1674,1374,1568,1150,18659,MS,2019
Jeep Wrangler,1639,2224,2568,2510,2112,2497,2108,1523,1973,1531,750,1750,23185,MS,2019
Kia Sorento,812,1355,1524,1784,1490,1727,1714,1406,1185,1110,1059,888,16054,MS,2019
Kia Telluride,0,0,111,438,523,375,300,294,345,297,187,127,2997,MS,2019
Mazda CX09,224,263,418,307,361,455,474,359,305,364,419,473,4422,MS,2019
Nissan Murano,781,832,1409,966,1074,1208,1035,1051,891,973,994,786,12000,MS,2019
Nissan Pathfinder,417,359,533,455,833,527,477,539,424,392,448,300,5704,MS,2019
Subaru Ascent,198,253,384,472,414,397,292,303,314,336,410,366,4139,MS,2019
Subaru Outback,499,621,948,1065,1079,981,1074,845,644,926,1184,1106,10972,MS,2019
Toyota 4Runner,605,393,784,762,854,681,824,903,522,690,663,549,8230,MS,2019
Toyota Highlander,729,792,1184,1095,1185,1423,1347,1336,1114,1366,1316,924,13811,MS,2019
Volkswagen Atlas,530,521,822,925,881,725,761,769,748,933,695,601,8911,MS,2019
Volkswagen Touareg,7,2,5,2,1,3,2,0,1,3,0,0,26,MS,2019
